step,epoch,loss,reward,grad_norm,learning_rate,clip_ratio/high_max,clip_ratio/high_mean,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/region_mean,completions/clipped_ratio,completions/max_length,completions/max_terminated_length,completions/mean_length,completions/mean_terminated_length,completions/min_length,completions/min_terminated_length,entropy,frac_reward_zero_std,kl,num_tokens,reward_std,rewards/reward_func/mean,rewards/reward_func/std,rewards/schema_reward_func/mean,rewards/schema_reward_func/std,rewards/terminal_reward_func/mean,rewards/terminal_reward_func/std,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
55,0.0275,0.09792530536651611,1.125029444694519,0.10480255633592606,4.325e-06,0.0,0.0,0.0,0.0,0.0,0.875,768.0,529.0,738.125,529.0,529.0,529.0,0.008480250486172736,0.0,0.0020219900688971393,417512.0,0.05644090473651886,0.7625147104263306,0.02822048030793667,0.18125736713409424,0.014110245741903782,0.18125736713409424,0.014110245741903782,,,,,
56,0.028,-0.08748762309551239,1.1121270656585693,0.07454080879688263,4.312500000000001e-06,0.0,0.0,0.0,0.0,0.0,0.875,768.0,487.0,732.875,487.0,487.0,487.0,0.009385207027662545,0.0,0.003709768003318459,425943.0,0.09908337891101837,0.7560635209083557,0.04954169690608978,0.17803175747394562,0.024770839139819145,0.17803175747394562,0.024770839139819145,,,,,
57,0.0285,-0.00787559524178505,1.1389837265014648,0.04955901950597763,4.3e-06,0.0,0.0,0.0,0.0,0.0,0.875,768.0,529.0,738.125,529.0,529.0,529.0,0.009576903888955712,0.0,0.0011066989318351261,434416.0,0.08926299959421158,0.7694919109344482,0.044631510972976685,0.1847459375858307,0.02231575921177864,0.1847459375858307,0.02231575921177864,,,,,
58,0.029,-0.17904195189476013,1.1183445453643799,0.03853356093168259,4.287500000000001e-06,0.0,0.0,0.0,0.0,0.0,0.875,768.0,323.0,712.375,323.0,323.0,323.0,0.010092595301102847,0.0,0.004449941247003153,442683.0,0.31294316053390503,0.7591722011566162,0.15647158026695251,0.17958611249923706,0.07823579758405685,0.17958611249923706,0.07823579758405685,,,,,
59,0.0295,0.08114875853061676,1.1673977375030518,0.05779992416501045,4.2750000000000006e-06,0.0,0.0,0.0,0.0,0.0,0.875,768.0,503.0,734.875,503.0,503.0,503.0,0.011776702769566327,0.0,0.001599157476448454,451130.0,0.1326751708984375,0.7836987972259521,0.06633759289979935,0.19184941053390503,0.03316879644989967,0.19184941053390503,0.03316879644989967,,,,,
60,0.03,-0.3622637093067169,0.9595797061920166,0.06391497701406479,4.2625e-06,0.0,0.0,0.0,0.0,0.0,0.75,768.0,271.0,627.25,205.0,139.0,139.0,0.01815552345942706,0.0,0.011665045240079053,458716.0,0.3636772632598877,0.6704148054122925,0.20074766874313354,0.14770741760730743,0.07767410576343536,0.14145740866661072,0.0879862904548645,,,,,
61,0.0305,-0.25713303685188293,1.009403109550476,0.0654398575425148,4.25e-06,0.0,0.0,0.0,0.0,0.0,0.75,768.0,471.0,661.0,340.0,209.0,209.0,0.013131413143128157,0.0,0.0038782605988672003,466572.0,0.2678588628768921,0.7047015428543091,0.13392943143844604,0.1523507833480835,0.06696471571922302,0.1523507833480835,0.06696471571922302,,,,,
62,0.031,3.3721327781677246e-05,1.1271554231643677,0.0571247898042202,4.2375000000000005e-06,0.0,0.0,0.0,0.0,0.0,1.0,768.0,0.0,768.0,0.0,768.0,0.0,0.007421323098242283,0.0,0.000836590159451589,475284.0,0.0671570897102356,0.7635776996612549,0.03357856720685959,0.1817888617515564,0.016789279878139496,0.1817888617515564,0.016789279878139496,,,,,
63,0.0315,-0.4048652648925781,0.8429588675498962,0.10089081525802612,4.225e-06,0.0,0.0,0.0,0.0,0.0,0.625,768.0,363.0,571.375,243.6666717529297,151.0,151.0,0.02018238848540932,0.0,0.009227398153598187,482423.0,0.3596133887767792,0.6183544397354126,0.18388038873672485,0.11542721092700958,0.08488712459802628,0.10917720943689346,0.09194018691778183,,,,,
64,0.032,3.651529550552368e-05,1.1256818771362305,0.05242123454809189,4.212500000000001e-06,0.0,0.0,0.0,0.0,0.0,1.0,768.0,0.0,768.0,0.0,768.0,0.0,0.008475678099785,0.0,0.0008978430996648967,491135.0,0.1265326738357544,0.7628408670425415,0.0632663294672966,0.1814204454421997,0.0316331647336483,0.1814204454421997,0.0316331647336483,,,,,
